OBJECTID,NOMBRE,DIRECCION,SUPERFICIE,PROPIEDAD_TERRENO,DETALLE_PROPIEDAD,ROL,USO_AREA_VERDE,DETALLE_USO_AREA_VERDE,AGNO_APERTURA,COSTO_CONSTRUCCION,FUENTE_FINANCIAMIENTO,DETALLE_FUENTE_FINANCIAMIENTO,ADMINISTRACION,DETALLE_ADMINISTRACION,COSTO_ANUAL_MANTENCION,SUMINISTRO_RIEGO,DETALLE_RIEGO,CONEXION_RED_AGUA,BAÑOS_ASISTENTES,BAÑOS_TRABAJADORES,NIVEL_CONSOLIDACION,TIPO_ACCESO_PUBLICO,COSTO_INGRESO,JUEGOS_INFANTILES,CANCHA_FUTBOL,MULTICANCHA,MAQUINAS_EJERCICIOS,ZONA_PICNIC,OTROS_EQUIPAMIENTOS,ESTACIONAMIENTOS_DISCAPACITADOS,BAÑO_DISCAPACITADOS,RUTA_ACCESIBLE,JUEGOS_ACCESIBLES,OBSERVACIONES,Capa,Programa,COM,REGION,PROVINCIA,Shape_Length,Shape_Area
187,BOSQUE MUNICIPAL,AGUSTÍN ROSS,93673.85766966,MUNICIPAL, , ,Sí, ,0,0, , ,MUNICIPAL, ,0,CAMION ALJIBE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,06201,06,062,0.0211095599055862,9.1728171111623e-06
188,PLAZA ARTURO PRAT,DANIEL ORTUZAR,9033.53274247,B.N.U.P, , ,Sí, ,0,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,06201,06,062,0.00379254066761589,8.84534956607978e-07
189,PARQUE EL RODEO,CALLE EXPLANADA MEDIALUNAPONIENTE S/Nº,9560.25575836,MUNICIPAL, ,218-1,No,"ZE; ZONA DE EQUIPAMIENTO",2015,280688932,MINVU, ,MUNICIPAL, ,27636000,MIXTO,Aljibe y Agua para Riego,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,, , , , , , , , , ,COSTOS DE MANTENCIÓN ESTIMADOS EN RAZÓN DE UN VALOR DE $235.- VALOR POR METRO CUADRADO AL MES,Catastro Nacional de Parques Urbanos,Parques Urbanos,06115,06,061,0.00404894036923445,9.37446687403554e-07
190,PLAZA EXTREMADURA-GIJON PALMILLA,ANIBAL PINTO S/N,6568.90113435,B.N.U.P, ,49-20,Sí, ,1998,772883520,MINVU, ,MUNICIPAL, ,0,MIXTO,"agua potable, pozo",Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,06306,06,063,0.00381117467103189,6.45273612469854e-07
191, , ,131257.40695725, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.0242589436611203,1.28361913924678e-05
192, ,AV. UNO CON EL AMAMNECER,7965.37380351,B.N.U.P, , ,, ,0,0, , , , ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,Sí, ,No,No,Sí,Sí, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,06301,06,063,0.00496575207488696,7.825304774969e-07
193, ,CALLE EL ROBLE CON CIRCUNVALACION,11472.51618015,B.N.U.P, , ,Sí, ,0,0, , , , ,0, , , ,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,Sí,No, ,No,No,Sí,Sí, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,06301,06,063,0.0060843273765519,1.12709336857719e-06
194,COMPLEJO DEPORTIVO PATRICIO MEKIS, ,114689.64199011, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.0136158340326218,1.12139241942179e-05
195,PARQUE LOURDES,,49627.95250781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00998714347697706,4.85370407395686e-06
196,PARQUE KOKE,,27954.14134476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00812919794551873,2.73360136501816e-06
197,PARQUE VICTORIA,,8264.99971162,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00492129960684618,8.08130863219192e-07
198,PARQUE CORDILLERA,,32937.15551597,SERVIU,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.0111405233302982,3.22090261457079e-06
199,PARQUE DE LOS NIÑOS,,20444.96720854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.0130447102407319,1.99932845639759e-06
200,PARQUE DE LA JUVENTUD,,25048.37673581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.0132219784366203,2.44920806340121e-06
201,COMPLEJO DEPORTIVO LA COMPAÑÍA,,25688.152801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00666681670411825,2.51194383812759e-06
202,"PARQUE ESTERO EL MAITÉN, NAVIDAD.",PLAZA GENERAL BONILLA S/N,7916.86676434,B.N.U.P,,,,,2012,2011,MINVU,,MUNICIPAL,,,MEDIDOR AGUA POTABLE,También se ocupa camión aljibe.,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,Sí,No,Sí,Sí,Sí,"SKATEPARK, PERGOLAS, ANFITEATRO",Sí,No,Sí,Sí,SÓLO EXISTEN BAÑOS QUE SE OCUPAN DEL GIMNASIO MUNICIPAL.,Catastro Nacional de Parques Urbanos,Parques Urbanos,06205,06,062,0.00858315717834928,7.7146274434034e-07
203,PLAZA VILLA TRIANA,,12323.08280432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00431749679066681,1.20525922930102e-06
204,PLAZA LA CALETA,LOS PERALES,5903.19876162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00621779063595703,5.77361387055745e-07
205,PARQUE GABRIELA MISTRAL,RIQUELME,11621.14092474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00636061407369579,1.13657462261767e-06
206,NN 03,LORD COCHCRANE,8055.09074974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00379357168798664,7.87867032219208e-07
207,PLAZA DE ARMAS RANCAGUA,,8989.21496797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00376313107941849,8.7908554696408e-07
208,NN 07,,9021.29397669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00510191200274494,8.82334143499197e-07
209,PARQUE AV. BERNARDO O'HIGGINS / BANDEJÓN CENTRAL,ALAMEDA BERNARDO O`HIGGINS S/N,16319.97296719,B.N.U.P, , ,Sí, ,0,0, , ,MUNICIPAL, ,0,POZO, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.0326740545428891,1.59577938409159e-06
210,NN 08,,5268.29296107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06101,06,061,0.00404614377448903,5.15114348021052e-07
211,PLAZA DE ARMAS DE RENGO,,9096.65276374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06115,06,061,0.00393192358330166,8.91998365241319e-07
212,PLAZA VILLA ESPERANZA,,14040.84877894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06115,06,061,0.00495721846229164,1.37644969632257e-06
213,NN 09,,7609.22758961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06115,06,061,0.00340745097858388,7.46102294958123e-07
214,PARQUE ABEL BOUCHON,MANSO DE VELASCO,73532.08401264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06301,06,063,0.015340366213739,7.22396631535365e-06
215,PARQUE COMUNAL,,15671.63211832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06106,06,061,0.00528797304928038,1.53080940300484e-06
216,NN 10,,5008.27939949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06117,06,061,0.00269079735995541,4.91189998959303e-07
217,PARQUE URBANO DE RAPEL,,8484.65791746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06205,06,062,0.00368511242003629,8.26786950711958e-07
218,NN 12,,10594.20017217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,06303,06,063,0.00399856955371204,1.04238440742255e-06
219,PLAZA DE ARMAS, ,11442.80259927, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07301,07,073,0.00392063253200747,1.12940962484357e-06
220, , ,7603.75265033, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07108,07,071,0.00438034444627297,7.53181985230836e-07
221, , ,10323.94307883, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07108,07,071,0.00609293481038727,1.02264397848812e-06
222,CERRO CONDELL, ,470240.04105221, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07301,07,073,0.029857850101129,4.64098738910076e-05
223,PLAZA D ELOS VENADOS, ,7877.46508074, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07301,07,073,0.00370706179895581,7.7753502566943e-07
224, , ,72774.06977153, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07301,07,073,0.0123766353617772,7.18411516606255e-06
225, , ,10534.68836928, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07301,07,073,0.00414866187315777,1.03965376791589e-06
226, , ,17138.50679498, , , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07301,07,073,0.00530149360956323,1.6934056904607e-06
227,PLAZA DE ARMAS COMUNA DE SAN CLEMENTE,ENTRE LAS CALLE ALEJANDRO CRUZ Y CALLE CARLOS SILVA Y CALLE ALEJANDRO CONCHA Y CALLE ELEODORO VERGARA,6891.19463998,MUNICIPAL, , ,Sí, ,1891,0,MUNICIPAL, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,ANFITEATRO Y ESCENARIO.,Sí,No,Sí,No,EXISTE POZO PERO SE ENCUENTRA SECO,Catastro Nacional de Parques Urbanos,Parques Urbanos,07109,07,071,0.0035914371914743,6.8458001616831e-07
228,PLAZA DE ARMAS DE CONSTITUCIÓN,CALLE MONTT 425,11070.00029013,MUNICIPAL, ,No hay registro,Sí, ,1971,0,NO CUENTA CON FINANCIAMIENTO, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,Sí,No,No, , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07102,07,071,0.00420663941021673,1.09572295884672e-06
229,PARQUE JAPONES,AVENIDA ENRIQUE DONN S/N,5059.15202682,PRIVADO,FORESTAL CELCO, ,No,RESIDENCIAL Y EQUIPAMIENTO,2006,0,OTRO,forestal celco,PRIVADO,forestal celco,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07102,07,071,0.00327738872070901,5.00766528755453e-07
230,PLAZA ARTURO PRAT,CALLE ANTONIO VARAS INTERSECCIÓN CALLE ARTURO PRAT,6775.44721192,B.N.U.P,OTRO, ,Sí, ,0,0,NO CUENTA CON FINANCIAMIENTO, ,MUNICIPAL, ,22294750,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,Sí,Sí,No, ,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07201,07,072,0.0035825240025022,6.75997524221466e-07
231,PARQUE DIEGO PORTALES,MEMBRILLAR S/N,5840.47412546,B.N.U.P, ,Sin Rol,Sí, ,0,0,NO CUENTA CON FINANCIAMIENTO, ,MUNICIPAL, ,8500000,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,Sí,No, ,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07301,07,073,0.00366628687801213,5.76527981027048e-07
232,PARQUE PLAZA MIGUEL DE CERVANTES,MIGUEL DE CERVANTES INTERSECCION JOSE SOLER MILLA,7610.6404529,B.N.U.P, , ,Sí, ,0,0,NO CUENTA CON FINANCIAMIENTO, ,MUNICIPAL, ,90000000, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07301,07,073,0.00456889225440859,7.51191317795531e-07
233,PARQUE JERONIMO LAGOS LISBOA,CALLE BALMACEDA ENTRE SALGADO Y CHANQUICO,13186.66973276,MUNICIPAL, ,75-03,Sí, ,1852,1443388000,MINVU, ,MUNICIPAL, ,45771765,MEDIDOR AGUA POTABLE,"Pozo, Agua Potable",Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,CASONA DEL POETA,Sí,Sí,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07406,07,074,0.00522783279592613,1.31068115723967e-06
234,PARQUE COSTANERA PELLUHUE,COSTANERA DE PELLUHUE S/N,27756.09381024,B.N.U.P, , ,Sí,,2017,0,MINVU, ,MUNICIPAL, ,,POZO, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,Sí,No,Sí,No,"SKATE PARK, HITOS 27 F, ANFITEATRO",Sí,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07203,07,072,0.0100231284554644,2.76294459384591e-06
235,PLAZA SOL Y CORDILLERA,CALLE TORREBLANCA ENTRE CALLE PEDRO LEÓN GALLO Y CALLE MAC-IVER,9270.59510104,MUNICIPAL, ,28-12,Sí, ,2014,2013,MUNICIPAL, ,MUNICIPAL, ,24208800,POZO, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SEDE SOCIAL,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07406,07,074,0.00448035689864844,9.21355048921775e-07
236,MEJORAMIENTO PLAZA DE ARMAS SAGRADA FAMILIA,AV. VALDIVIA S/N,9388.30581729,B.N.U.P,,,,,1904,,GORE,,MUNICIPAL,,,CANAL,,No,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,No,No,No,No,No,"ESCENARIO,",,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07307,07,073,0.00385972782521622,9.26655326551993e-07
237,PLAZA DE ARMAS DE PARRAL,ANIBAL PINTO ENTRE CALLE BALMACEDA Y CALLE BUIN,15917.84639434,B.N.U.P,,,Sí,,0,0,NO CUENTA CON FINANCIAMIENTO,,MUNICIPAL,,0,MIXTO,Agua Potable y Camión Aljibe,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,No,No,No,No,No,MOBILIARIO URBANO,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07404,07,074,0.00486155527891437,1.59262806104675e-06
238,PLAZA ARRAU MÉNDEZ PARRAL,"CALLE CAYETANO LANDAETA, ENTRE CALLE SERGIO ARIAS Y CALLE MIGUEL ARCE",10237.62797481,B.N.U.P, , ,Sí, ,0,0,NO CUENTA CON FINANCIAMIENTO, ,MUNICIPAL, ,0,MIXTO,Agua Potable y Camión Aljibe,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,Sí,No,Sí,No,MOBILIARIO URBANO,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07404,07,074,0.0040701251601403,1.0243139573295e-06
239,PLAZA DE ARMAS BERNARDO OHIGGINS,CALLE ANTONIO VARAS INTERSECTA CON AVENIDA CLAUDINA URRUTIA,12268.14086085,B.N.U.P,NO HAY REGISTRO, ,Sí, ,0,0,NO CUENTA CON FINANCIAMIENTO, ,MUNICIPAL, ,48302100,MIXTO,"Medidor agua potable, Pozo profundo",Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,07201,07,072,0.00450851123550973,1.2240443792227e-06
240,Plaza,,13805.29923673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07304,07,073,0.00452624782258347,1.36465012460503e-06
241,PLAZA DE ARMAS DE TENO,"ENTRE CALLE SOTOMAYOR Y CALLE SAN JUAN DE DIOS,ENTRE CALLE ARTURO PRAT Y CALLE LATORRE",17248.35347322,B.N.U.P,,no hay registro,Sí,,1.892,0,NO CUENTA CON FINANCIAMIENTO,,MUNICIPAL,,0,CANAL,,No,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,Sí,No,Sí,No,No,"QUIOSCO, CANCHA MINI GOLF",No,No,Sí,Sí,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07308,07,073,0.00495528375427589,1.70011636886355e-06
242,PLAZA DE ARMAS DE SAN JAVIER,CALLE ELEUTERIO RAMÍREZ ENTRE CATEDRAL Y TACNA,13940.3777486,B.N.U.P,,,Sí,,1852,0,NO CUENTA CON FINANCIAMIENTO,,MUNICIPAL,,40656000,MEDIDOR AGUA POTABLE,,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07406,07,074,0.00452477070242234,1.3854218584687e-06
243,PLAZA DE ARMAS DE TALCA,1 SUR ENTRE 1 ORIENTE Y 1 PONIENTE,11235.49115513,B.N.U.P,,,Sí,,1742,0,NO CUENTA CON FINANCIAMIENTO,,MUNICIPAL,,,,,,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,No,No,No,No,No,,No,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.00394672170074692,1.11442020382878e-06
244,PLAZA LAS HERAS,7 NORTE ENTRE 5 Y 6 ORIENTE,15166.93335878,B.N.U.P,,,Sí,,,,NO CUENTA CON FINANCIAMIENTO,,MUNICIPAL,,,,,,,,CONSOLIDADO,GRATUITO,,Sí,No,Sí,Sí,No,CANCHA DE PATINAJE,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.00478838838739098,1.50421887648606e-06
245,PLAZA ABATE MOLINA,7 SUR ENTRE 8 Y 9 ORIENTE,13624.78842544,B.N.U.P,,,Sí,,,0,NO CUENTA CON FINANCIAMIENTO,,MUNICIPAL,,,,,,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,Sí,Sí,No,Sí,No,,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.00476286873006593,1.35155376016444e-06
246,PLAZA ARTURO PRAT,3 1/2 SUR ENTRE 14 Y 15 ORIENTE,9539.85392473,B.N.U.P,,,Sí,,,,,,MUNICIPAL,,,,,,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,Sí,No,No,Sí,No,PÉRGOLA,Sí,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.00377120450370856,9.46312238428078e-07
247,PLAZA DE ARMAS DE LINARES,INDEPENDENCIA / MANUEL RODRIGUEZ,14296.9936475,B.N.U.P,,,Sí,,1794,,,,,,35000000,POZO,,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,No,No,No,No,No,"PILETA, ODEÓN",Sí,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07401,07,074,0.00452249368263446,1.42552388833271e-06
248,PLAZA LOS CRISTALES,LOS CRISTALES S/N,5151.59500976,MUNICIPAL,,,Sí,,2002,45000000,OTRO,PMU,MUNICIPAL,,1500000,POZO,,No,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,No,No,No,No,No,,No,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07403,07,074,0.0029257334034034,5.14694454718024e-07
249,PLAZA LA VICTORIA,2 SUR ENTRE 7 Y 8 ORIENTE,6663.76432547,B.N.U.P,,no hay registro,Sí,,,,,,MUNICIPAL,,,,,,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.00440037807456381,6.60988558265185e-07
250,PLAZA DE ARMAS,,6183.71859416,MUNICIPAL,,,No,,,,,,MUNICIPAL,,16000000,POZO,,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,,Sí,No,No,No,No,,No,No,Sí,Sí,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07104,07,071,0.00317207935280647,6.14133162968353e-07
251,PLAZA DE VILLA ALEGRE,,11412.04708611,,,,Sí,,,,,,,,,,,,,,,,,,No,No,,No,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07407,07,074,0.00416239254652071,1.13529539868654e-06
252,ENTORNO GIMNASIO REGIONAL DE TALCA,2 NORTE ESQUINA 18 ORIENTE,6596.34373073,MUNICIPAL,,,No,DEPORTE Y RECREACIÓN,,0,,0,MUNICIPAL,,,,,,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,No,No,No,No,No,,No,No,No,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.00432414240639546,6.54296523779839e-07
253,PLAZA DE ARMAS LONGAVÍ,CALLE 1 ORIENTE 244,10440.02202572,B.N.U.P,,,Sí,,1937,,,,MUNICIPAL,,15000000,POZO,,No,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,,Sí,No,No,No,No,,No,No,Sí,Sí,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07403,07,074,0.00394561409917199,1.04242094296797e-06
254,PARQUE LIRCAY,,15884.2469432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.0054837677892895,1.57510883427409e-06
255,NN 02,,30920.89756209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.0142313678256475,3.06609806659648e-06
256,NN 08,,23931.95478993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07301,07,073,0.00640537047228797,2.36148677371766e-06
257,NN 03,,6112.00882008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07101,07,071,0.00463044647706431,6.06063053338463e-07
258,CERRO MUTRÚN,,189064.50117996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07102,07,071,0.0180650658149464,1.87117298328186e-05
259,NN 12,,11488.7329991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07304,07,073,0.00418103961547516,1.1356506555048e-06
260,PLAZA MANSO DE VELASCO,,12922.21779689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07201,07,072,0.00448377994984846,1.28931540413909e-06
261,NN 13,,7120.94847457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,07304,07,073,0.00672315911548181,7.03942890114746e-07
262,PLAZA MAYOR ISABEL RIQUELME,AVDA. O´HIGGINS S/N,13680.18870956,B.N.U.P, , ,Sí, ,0,0, , ,MUNICIPAL,Público,65000000,POZO, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No, ,Sí,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,16103,08,161,0.00480250602872343,1.37662472483333e-06
263,PLAZA INDEPENDENCIA,O'HIGGINS/ CAUPOLICÁN/BARROS ARANA/ ANIBAL PINTO,11585.49861498,MUNICIPAL, , , , ,0,0,MUNICIPAL, ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,"ESCAÑOS, ODEÓN, PILETA, MESAS DE AJEDREZ, PAPELEROS, LUMINARIAS, MONUMENTOS, MÁSTILES",No,No,Sí,No,BAÑOS PÚBLICOS LICITADOS,Catastro Nacional de Parques Urbanos,Parques Urbanos,08101,08,081,0.0044506309958445,1.1673882120725e-06
264,PARQUE LOBERIA,AVENIDA COSTANERA,30622.55036614,MUNICIPAL, , , , ,0,0, , , , ,0, , , , , , , ,0,, , , , , , , , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,16202,08,162,0.0110989992403314,3.05959653380505e-06
265,PARQUE COSTANERA DE QUIDICO,AVENIDA COSTANERA SIN NUMERO,40694.49616037,FISCAL, , ,No,ZEQ3,0,0,MINVU, ,MUNICIPAL, ,0,OTRO,puntera,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,Sí,Sí,No, , ,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,08207,08,082,0.0285667352296328,4.17554325719686e-06
266,PARQUE LAFKENMAPU, ,62656.26095687,B.N.U.P, , ,No,ZEQ3,2016,2799232371,MINVU, ,MUNICIPAL, ,0,OTRO,puntera,No,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,Sí,No, ,Sí,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,08207,08,082,0.0148730405711529,6.43738977073806e-06
